title,price,stock,model,description,FirmCode,Número de Cuerdas,Guitarra Serie,Forma de Cuerpo,Material Cuerpo,Origen,Acabado de Cuerpo,Material Mastil,Frets Size,Material Diapason,Escala,Numero de Trastes,Radio Diapason,Forma de Mastil,Pastilla Mastil,Pastilla Puente,Código de barras,Estuche ó Funda,Ajuste de pastillas,Acabado Mastil,Pastilla Media,scale,radius
"Gibson Custom 60th Anniversary 1961, Les Paul SG Standard, Cherry Red, Guitarra Eléctrica con case",118900.0,Disponible,SGSR60THVOCHNSP1,"Las guitarras Gibson son símbolo de calidad y superioridad musical. En 1961 la marca decidió hacer un cambio radical en la famosa Les Paul modificando la forma del cuerpo haciéndolo mas delgado, cómodo y con mas espacio para alcanzar las notas mas altas. Pero el creador del clásico modelo no estuvo",Gibson,6.0,Custom Shop,SG,1-Piece Solid Mahogany,EEUU,Gloss Nitrocellulose Lacquer,Solid Mahogany,Medium Jumbo,Indian Rosewood,"24.75"" (629 mm)",22.0,"12"" (305 mm)",Authentic '61 Thin Profile,Custombucker,Custombucker,711106061863.0,CASE,,,,629.0,305.0
"Gibson Custom Standard Axcess, Les Paul, DC Rust, Guitarra Eléctrica con case",123520.0,Disponible,LPXS7DCRCF1,"Las guitarras Gibson son símbolo de calidad y superioridad musical y la Les Paul es considerada por muchos la mejor guitarra eléctrica de la historia. La GIBSON CUSTOM LES PAUL AXCESS STANDARD FIGURED FLOYD ROSE GLOSS DC RUST, mantiene viva la reputación de estos magníficos instrumentos. Este modelo",Gibson,6.0,Custom Shop,Les Paul,Mahogany,EEUU,Nitrocellulose Gloss,Solid Mahogany,Medium Jumbo,Indian Rosewood,"24.75"" (629 mm)",22.0,"12"" (305 mm)","""Slim C""",490R Humbucker,498T Humbucker,711106926773.0,CASE,,,,629.0,305.0
"Gibson Custom 58, Flying V Reissue, Oxblood Gloss, Guitarra Eléctrica con case",126420.0,Disponible,FVM58CUS17137,"Las guitarras Gibson son símbolo de calidad y superioridad musical. Cuando la Flying V debutó en 1958 fue considerado una guitarra adelantada a su época. Nueve años después la demanda popular la trajo de regreso, pero esta vez contaba con una fantástica Vibrola. Por muchos años los coleccionistas",Gibson,6.0,Custom Shop,Flying V,Mahogany,EEUU,Nitrocellulose Lacquer,Solid Mahogany,Medium Jumbo,Indian Rosewood,"24.75"" (629 mm)",22.0,"12"" (305 mm)",Chunky C-Shape,Custombucker Alnico III (Unpotted),Custombucker Alnico III (Unpotted),,CASE,HH,,,629.0,305.0
"Squier Classic Vibe '60s Thinline, Telecaster , Natural, Guitarra Eléctrica",10557.0,Disponible,0374067521,"El Classic Vibe '60s Telecaster® Thinline es un guiño a los primeros modelos Tele semi-huecos de la década de 1960, creando un tono increíble por cortesía de las pastillas de una sola bobina alnico directa por Fender. Características reproductor ambiente incluido un perfil delgado, cómodo ""C"" en",Squier,6.0,Classic Vibe,Telecaster,Nato,Indonesia,Gloss Polyurethane,Maple,Narrow Tall,Maple,"25.5"" (648 mm)",21.0,"9.5"" (241 mm)","""C"" Shape",Fender Designed Alnico Single-Coil,Fender Designed Alnico Single-Coil,885978064533.0,NO INCLUYE,SS,Tinted Gloss Urethane,,648.0,241.0
"Squier Classic Vibe '70s Deluxe, Telecaster, Black, Guitarra Eléctrica",10557.0,Disponible,0374060506,"La guitarra eléctrica Squier Classic Vibe '70s Telecaster® Deluxe es un fiel guiño a la evolución de los años 70 del Tele®, creando un tono masivo por cortesía de las pastillas humbucking de amplio rango diseñadas por Fender. Las características amigables para el jugador incluyen un perfil de cuello",Squier,6.0,Classic Vibe,Telecaster,Poplar,Indonesia,Gloss Polyurethane,Maple,Narrow Tall,Maple,"25.5"" (648 mm)",21.0,"9.5"" (241 mm)","""C"" Shape",Fender Designed Wide Range Humbucking,Fender Designed Wide Range Humbucking,885978064519.0,NO INCLUYE,HH,Tinted Gloss Urethane,,648.0,241.0
"Squier Classic Vibe '60s Custom, Telecaster, 3-Color Sunburst, Guitarra Eléctrica",10557.0,Disponible,0374040500,"Un guiño a los modelos Tele® de doble filo de la década de 1960, el Telecaster Custom Classic Vibe ‘60s crea un tono increíble por cortesía de las pastillas de bobina simple alnico diseñadas por Fender. Las características amigables para el músico incluyen un perfil de cuello en forma de ""C"" delgado",Squier,6.0,Classic Vibe,Telecaster,Nato,Indonesia,Gloss Polyurethane,Maple,Narrow Tall,Indian Laurel,"25.5"" (648 mm)",21.0,"9.5"" (241 mm)","""C"" Shape",Fender Designed Alnico Single-Coil,Fender Designed Alnico Single-Coil,885978064489.0,NO INCLUYE,SS,Tinted Gloss Urethane,,648.0,241.0
"Fender 60th Anniversary Ultra Luxe, Jaguar, Texas Tea, Guitarra Eléctrica con case",53865.0,Disponible,0170621790,"Hecha en la fabrica de Corona, California, la Fender 60th Anniversary Ultra Luxe Jaguar conmemora los 60 años de la guitarra mas fina de la marca de California. Este colosal instrumento está limitado a 500 copias e incluye un premiun molded hardshell case. Esta incluye pastillas tipo Fender Custom",Fender,6.0,Anniversary,Jaguar,Alder,EEUU,Gloss Urethane,Maple,Medium Jumbo Stainless Steel,Ebony,"25.5"" (648 mm)",22.0,"10"" to 14"" Compound Radius (254 mm to 355.6 mm)",Augmented “D”,Custom Double Tap Humbucking,Custom Double Tap Humbucking,885978893867.0,Gig Bag,HH,Ultra Satin Urethane with Gloss Headstock Face,,648.0,254.0
"Fender Vintera '50s  Modified, Stratocaster, Daphne Blue, Guitarra Eléctrica",25416.0,Disponible,0149962304,"Las guitarras y bajos Fender han estado presentes durante toda la historia de la música moderna. Desde los orígenes del rock en los años 50, pasando por las leyendas de los explosivos años 60, hasta la llegada del punk en los años 70, cientos de guitarristas han construido su sonido gracias a los",Fender,6.0,Vintera,Stratocaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Maple,"25.5"" (648 mm)",21.0,"9.5"" (241 mm)","Modern ""C""",Vintage-Style '50s Single-Coil Hot Strat,Vintage-Style '50s Single-Coil Hot Strat,885978076086.0,Gig Bag,SSS,"Satin Urethane Finish on Back, Gloss Urethane Finish on Front",Vintage-Style '50s Single-Coil Hot Strat,648.0,241.0
"Fender Vintera '60s Modified, Jaguar, Sonic Blue, Guitarra Eléctrica con gig bag",29133.0,Disponible,0149813372,"Para los músicos que aprecian el mojo del pasado combinado con las características modernas, creamos la Vintera '60 Jaguar Modified. Combinando estilos clásicos con un moderno perfil de mástil y radio en el diapasón, pastillas rediseñadas más cálidas y electrónica actualizada, esta guitarra ofrece",Fender,6.0,Vintera,Jaguar,Alder,México,Gloss,Maple,Medium Jumbo,Pau Ferro,"24"" (610 mm)",21.0,"9.5"" (241 mm)","""C"" Shape",Atomic Humbucking,Atomic Humbucking,885978077953.0,Gig Bag,HH,Satin,,610.0,241.0
"Fender Vintera '60s, Jazzmaster, Ice Blue Metallic, Guitarra Eléctrica",25416.0,Disponible,0149753383,"Las guitarras y bajos Fender han estado presentes durante toda la historia de la música moderna. Desde los orígenes del rock en los años 50, pasando por las leyendas de los explosivos años 60, hasta la llegada del punk en los años 70, cientos de guitarristas han construido su sonido gracias a los",Fender,6.0,Vintera,Jazzmaster,Alder,México,Gloss Polyester,Maple,Vintage,Pau Ferro,"25.5"" (648 mm)",21.0,"7.25"" (184.1 mm)","Mid '60s ""C""",Vintage-Style '60s Single-Coil Jazzmaster,Vintage-Style '60s Single-Coil Jazzmaster,885978077892.0,Gig Bag,SS,Gloss Urethane,,648.0,184.1
